"DE: Food, beverages and tobacco / final energy consumption",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Air compressors,1.16%,1.16%,1.16%,1.16%,1.16%,1.16%,1.16%,1.16%,1.16%,1.16%,1.16%,1.16%,1.16%,1.16%,1.16%,1.16%
Motor drives,2.79%,2.79%,2.79%,2.79%,2.79%,2.79%,2.79%,2.79%,2.79%,2.79%,2.79%,2.79%,2.79%,2.79%,2.79%,2.79%
Fans and pumps,2.35%,2.35%,2.35%,2.35%,2.35%,2.35%,2.35%,2.35%,2.35%,2.35%,2.35%,2.35%,2.35%,2.35%,2.35%,2.35%
Low enthalpy heat,1.90%,1.90%,1.90%,1.90%,1.90%,1.90%,1.90%,1.90%,1.90%,1.90%,1.90%,1.90%,1.90%,1.90%,1.90%,1.90%
Food: Oven (direct heat),6.04%,6.04%,6.04%,6.04%,6.04%,6.04%,6.04%,6.04%,6.04%,6.04%,6.04%,6.04%,6.04%,6.04%,6.04%,6.04%
Food: Direct Heat - Thermal,2.72%,2.72%,2.72%,2.72%,2.72%,2.72%,2.72%,2.72%,2.72%,2.72%,2.72%,2.72%,2.72%,2.72%,2.72%,2.72%
Food: Direct Heat - Electric,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%
Food: Direct Heat - Microwave,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%
Food: Specific process heat,5.03%,5.03%,5.03%,5.03%,5.03%,5.03%,5.03%,5.03%,5.03%,5.03%,5.03%,5.03%,5.03%,5.03%,5.03%,5.03%
Food: Process Heat - Thermal,3.73%,3.73%,3.73%,3.73%,3.73%,3.73%,3.73%,3.73%,3.73%,3.73%,3.73%,3.73%,3.73%,3.73%,3.73%,3.73%
Food: Process Heat - Electric,1.27%,1.27%,1.27%,1.27%,1.27%,1.27%,1.27%,1.27%,1.27%,1.27%,1.27%,1.27%,1.27%,1.27%,1.27%,1.27%
Food: Process Heat - Microwave,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%
Food: Steam processing,53.74%,52.81%,52.03%,52.06%,52.71%,51.73%,50.84%,51.61%,49.37%,49.27%,50.47%,50.78%,50.76%,50.77%,50.71%,49.77%
Food: Drying,9.57%,9.57%,9.57%,9.57%,9.57%,9.57%,9.57%,9.57%,9.57%,9.57%,9.57%,9.57%,9.57%,9.57%,9.57%,9.57%
Food: Thermal drying,3.83%,3.83%,3.83%,3.83%,3.83%,3.83%,3.83%,3.83%,3.83%,3.83%,3.83%,3.83%,3.83%,3.83%,3.83%,3.83%
Food: Steam drying,4.13%,4.13%,4.13%,4.13%,4.13%,4.13%,4.13%,4.13%,4.13%,4.13%,4.13%,4.13%,4.13%,4.13%,4.13%,4.13%
Food: Electric drying,0.57%,0.57%,0.57%,0.57%,0.57%,0.57%,0.57%,0.57%,0.57%,0.57%,0.57%,0.57%,0.57%,0.57%,0.57%,0.57%
Food: Freeze drying,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%
Food: Microwave drying,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%
Food: Process cooling and refrigeration,8.66%,8.66%,8.66%,8.66%,8.66%,8.66%,8.66%,8.66%,8.66%,8.66%,8.66%,8.66%,8.66%,8.66%,8.66%,8.66%
Food: Thermal cooling,2.16%,2.16%,2.16%,2.16%,2.16%,2.16%,2.16%,2.16%,2.16%,2.16%,2.16%,2.16%,2.16%,2.16%,2.16%,2.16%
Food: Steam cooling,0.69%,0.69%,0.69%,0.69%,0.69%,0.69%,0.69%,0.69%,0.69%,0.69%,0.69%,0.69%,0.69%,0.69%,0.69%,0.69%
Food: Electric cooling,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%
Food: Electric machinery,7.33%,8.26%,9.04%,9.01%,8.36%,9.34%,10.23%,9.46%,11.70%,11.80%,10.60%,10.29%,10.30%,10.30%,10.36%,11.30%
,,,,,,,,,,,,,,,,
Energy intensity (toe/physical output index),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Food, beverages and tobacco",159.58,159.35,158.50,158.05,157.22,155.88,154.33,153.26,152.59,150.55,150.50,150.32,148.92,145.75,146.00,144.01
Lighting,2.28,2.27,2.26,2.25,2.24,2.22,2.20,2.18,2.18,2.15,2.15,2.14,2.12,2.08,2.08,2.05
Air compressors,1.85,1.85,1.84,1.83,1.82,1.81,1.79,1.78,1.77,1.75,1.75,1.74,1.73,1.69,1.69,1.67
Motor drives,4.46,4.45,4.43,4.42,4.39,4.36,4.31,4.28,4.26,4.21,4.21,4.20,4.16,4.07,4.08,4.02
Fans and pumps,3.75,3.74,3.72,3.71,3.69,3.66,3.62,3.60,3.58,3.53,3.53,3.53,3.50,3.42,3.43,3.38
Low enthalpy heat,3.03,3.03,3.01,3.00,2.99,2.96,2.93,2.91,2.90,2.86,2.86,2.86,2.83,2.77,2.78,2.74
Food: Oven (direct heat),9.64,9.63,9.58,9.55,9.50,9.42,9.32,9.26,9.22,9.10,9.09,9.08,9.00,8.81,8.82,8.70
Food: Specific process heat,8.03,8.02,7.98,7.96,7.92,7.85,7.77,7.72,7.68,7.58,7.58,7.57,7.50,7.34,7.35,7.25
Food: Steam processing,85.75,84.16,82.47,82.29,82.87,80.64,78.46,79.10,75.33,74.18,75.96,76.33,75.60,74.00,74.04,71.67
Food: Drying,15.26,15.24,15.16,15.12,15.04,14.91,14.76,14.66,14.60,14.40,14.40,14.38,14.24,13.94,13.97,13.78
Food: Process cooling and refrigeration,13.82,13.80,13.73,13.69,13.61,13.50,13.36,13.27,13.21,13.04,13.03,13.02,12.90,12.62,12.64,12.47
Food: Electric machinery,11.70,13.16,14.33,14.23,13.14,14.56,15.78,14.49,17.86,17.77,15.95,15.47,15.35,15.01,15.13,16.28
