DE: Iron and steel / final energy consumption,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption by subsector (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Solar and geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity,1.5,1.4,1.4,1.6,1.5,1.4,1.6,1.5,1.5,1.3,1.4,1.6,1.5,1.5,1.4,1.4
Steel: Smelters,216.3,213.7,212.7,231.8,227.5,213.3,234.0,225.7,229.1,189.1,208.4,229.2,228.7,220.4,211.0,205.5
Solids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residual fuel oil,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),183.7,212.1,210.6,230.2,218.1,177.2,198.5,190.8,192.0,153.6,175.7,196.2,213.4,212.2,196.2,190.6
Derived gases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity,0.7,1.5,2.0,1.6,9.4,36.1,35.5,34.9,37.2,35.5,32.7,33.0,15.2,8.2,14.9,14.9
Steel: Electric arc,593.9,586.8,584.0,636.7,624.8,585.9,642.5,619.8,629.3,519.3,572.4,629.5,628.0,605.3,579.5,564.3
"Steel: Furnaces, Refining and Rolling",324.4,320.5,319.0,347.7,341.3,320.0,350.9,338.5,343.7,283.7,312.7,343.8,343.0,330.6,316.5,308.2
"Steel: Furnaces, Refining and Rolling - Thermal",196.4,193.8,192.7,210.8,206.7,193.4,211.9,204.3,209.9,173.5,191.5,209.9,209.5,199.2,190.7,188.2
LPG,1.4,1.7,1.3,1.2,1.5,0.2,0.2,0.2,5.9,5.8,6.6,6.6,7.1,0.1,0.1,0.1
