DE: Non-metallic mineral products / final energy consumption,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption by subsector (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Glass: Thermal melting tank,"1,945.9","1,763.5","1,720.3","1,951.0","1,898.7","1,862.7","1,868.3","1,987.1","1,909.5","1,699.2","1,736.9","1,675.7","1,622.2","1,672.6","1,685.5","1,703.6"
Solids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,59.3,79.9,11.1,78.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),1886.6,1683.6,1709.2,1872.6,1898.7,1862.7,1868.3,1987.1,1909.5,1699.2,1736.9,1675.7,1622.2,1672.6,1685.5,1703.6
Glass: Electric melting tank,263.8,292.3,277.2,203.8,200.1,200.1,203.5,224.8,195.7,175.9,185.8,195.9,185.1,181.8,176.5,184.8
Glass: Forming,214.3,237.5,225.2,165.6,162.6,162.6,165.4,182.7,159.0,143.0,151.0,159.2,150.4,147.7,143.4,150.1
Glass: Annealing,212.0,204.8,197.9,198.2,193.3,190.5,191.7,205.9,193.1,172.2,177.5,175.2,168.5,171.6,171.3,174.7
Glass: Annealing - thermal,149.4,135.4,132.1,149.8,145.7,143.0,143.4,152.5,146.6,130.4,133.3,128.6,124.5,128.4,129.4,130.8
Solids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),149.4,135.4,132.1,149.8,145.7,143.0,143.4,152.5,146.6,130.4,133.3,128.6,124.5,128.4,129.4,130.8
