DE: Non Ferrous Metals / final energy consumption,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption by subsector (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Aluminium processing - Electric,21.9,25.0,25.8,21.3,23.6,23.7,32.7,37.5,30.0,20.3,23.8,23.7,23.7,18.8,18.3,25.9
Aluminium finishing,19.9,22.1,22.6,22.4,22.5,23.4,23.2,24.5,21.3,16.3,18.3,17.6,17.5,16.0,14.4,18.1
Aluminium finishing - Thermal,7.3,8.1,8.2,8.4,8.3,8.7,8.2,8.5,7.5,5.9,6.5,6.3,6.2,5.8,5.2,6.3
LPG,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),0.7,0.6,0.6,0.6,0.6,0.5,0.4,0.4,0.4,0.3,0.2,0.2,0.1,0.2,0.0,0.0
Natural gas (incl. biogas),6.4,7.2,7.5,7.7,7.7,8.1,7.7,8.0,7.1,5.6,6.3,6.0,6.1,5.6,5.1,6.3
Aluminium finishing - Steam,11.6,12.8,13.1,13.0,13.1,13.6,13.5,14.2,12.3,9.4,10.6,10.2,10.2,9.3,8.4,10.5
Solids,4.5,5.0,5.1,4.5,3.9,3.7,1.3,1.5,1.1,1.0,0.9,1.1,1.1,1.2,1.0,1.1
Refinery gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),0.5,0.4,0.4,0.2,0.2,0.2,0.5,0.5,0.3,0.2,0.2,0.2,0.2,0.3,0.1,0.1
Residual fuel oil,1.3,1.6,1.8,0.2,1.2,1.1,1.1,1.1,1.2,0.9,0.8,0.2,0.6,0.5,0.7,1.0
Other liquids,0.0,0.0,0.0,4.5,4.5,4.7,0.5,0.5,3.6,2.6,1.4,1.4,0.4,0.3,0.2,1.0
Natural gas (incl. biogas),4.9,5.4,5.4,2.7,2.3,3.2,9.2,9.8,5.4,3.8,4.8,6.4,7.0,6.2,5.7,6.2
Derived gases,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2
Steam distributed,0.3,0.3,0.4,0.6,0.9,0.5,0.6,0.5,0.5,0.7,2.2,0.6,0.5,0.6,0.4,0.9
Aluminium finishing - Electric,1.1,1.2,1.2,1.0,1.1,1.1,1.6,1.8,1.4,1.0,1.1,1.1,1.1,0.9,0.9,1.2
,,,,,,,,,,,,,,,,
Other non-ferrous metals,"1,405.0","1,422.0","1,412.6","1,292.1","1,318.7","1,274.1","1,186.8","1,157.6","1,171.6","1,003.1","1,089.8","1,027.9",998.5,943.4,927.1,"1,062.3"
Lighting,1.8,1.8,1.8,1.7,1.7,1.6,1.5,1.5,1.5,1.3,1.4,1.3,1.3,1.2,1.2,1.4
Air compressors,0.9,0.9,0.9,0.8,0.9,0.8,0.8,0.7,0.8,0.6,0.7,0.7,0.6,0.6,0.6,0.7
Motor drives,23.1,23.4,23.2,21.2,21.7,21.0,19.5,19.0,19.3,16.5,17.9,16.9,16.4,15.5,15.2,17.5
Fans and pumps,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.5
Low enthalpy heat,1.2,1.2,1.2,1.1,1.1,1.1,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.8,0.8,0.9
Diesel oil (incl. biofuels),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Natural gas (incl. biogas),0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3
Solar and geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
