DE: Industry Summary,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Cement,"2,726.9","2,466.2","2,367.7","2,451.2","2,431.0","2,324.0","2,421.3","2,478.7","2,273.8","2,080.3","1,981.6","2,172.2","2,099.2","2,025.2","1,987.0","2,041.9"
Ceramics & other NMM,"1,408.0","1,227.4","1,453.8","1,498.1","1,722.5","1,615.5","1,680.5","1,978.0","1,941.3","1,794.2","1,979.2","2,035.7","1,945.1","2,038.6","2,118.6","2,003.2"
Glass production ,"2,938.4","2,816.6","2,724.6","2,771.1","2,702.0","2,661.6","2,677.7","2,872.2","2,701.5","2,409.0","2,479.6","2,440.4","2,349.2","2,396.0","2,395.1","2,439.4"
"Pulp, paper and printing","4,574.9","4,591.2","4,481.7","4,826.5","5,482.1","6,178.5","5,977.0","6,420.0","5,948.3","5,894.9","6,290.5","6,055.0","5,829.3","5,823.5","5,821.0","5,672.3"
Pulp production,490.6,478.4,472.5,547.4,592.8,708.7,675.1,736.0,663.5,632.5,683.3,658.5,634.1,633.5,643.5,599.8
Paper production ,"3,788.9","3,826.2","3,754.0","4,041.7","4,612.1","5,156.7","5,008.9","5,376.8","5,011.6","4,991.7","5,334.7","5,129.5","4,938.4","4,938.0","4,923.9","4,836.3"
Printing and media reproduction,295.4,286.7,255.2,237.4,277.2,313.1,293.0,307.2,273.2,270.8,272.5,267.1,256.7,251.9,253.6,236.2
" Food, beverages and tobacco","4,506.6","4,496.6","4,611.8","4,797.6","4,852.0","4,837.1","4,798.1","4,905.8","4,778.4","4,716.0","4,812.9","4,928.1","4,984.4","4,940.9","5,001.3","4,886.2"
 Transport Equipment,"2,913.1","3,002.2","2,982.9","3,235.6","3,352.1","3,315.4","3,200.1","3,131.7","2,966.1","2,557.7","2,950.9","2,895.6","2,997.9","3,109.8","2,866.7","2,878.1"
 Machinery Equipment,"3,135.2","3,173.8","3,166.1","4,430.9","4,864.0","4,835.9","4,905.2","4,930.6","5,984.1","5,163.0","5,551.6","5,689.0","5,731.5","5,878.0","5,683.8","5,130.4"
 Textiles and leather,929.9,915.3,866.8,863.6,776.1,758.7,711.9,698.6,600.3,503.4,590.0,574.3,574.7,493.9,471.0,515.1
 Wood and wood products,625.3,628.4,608.4,912.7,"1,074.8","1,095.3",804.5,"1,016.8",752.0,"1,002.6","1,274.5","1,465.2","1,365.6","1,473.5","1,852.3","1,791.5"
 Other Industrial Sectors,"6,122.2","6,022.2","6,013.5","3,533.7","3,762.6","3,546.3","3,726.8","4,158.9","3,594.2","2,962.2","3,212.6","3,035.2","2,976.9","2,974.6","2,912.2","2,989.6"
,,,,,,,,,,,,,,,,
Non-energy use (ktoe),,,,,,,,,,,,,,,,
by fuel (EUROSTAT DATA),"24,659.7","24,550.9","24,428.6","22,823.1","23,524.2","24,281.0","23,687.7","23,014.3","22,257.6","20,862.3","22,269.2","22,053.0","21,522.9","21,417.8","21,823.3","20,936.6"
