DE: Chemicals Industry / final energy consumption,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption by subsector (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Diesel oil (incl. biofuels),0.0,0.0,0.0,1.1,1.1,1.3,1.0,1.1,1.4,0.6,0.8,0.9,0.7,0.5,0.4,0.0
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other liquids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),75.0,77.0,79.3,82.1,82.4,87.0,61.5,75.6,62.4,49.1,60.9,70.4,57.8,43.2,41.3,0.1
Derived gases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steam distributed,0.0,0.0,0.0,4.1,0.0,0.0,27.2,28.7,23.9,28.8,26.9,33.4,37.2,41.5,47.8,86.9
Chemicals: Process cooling - Electric,58.5,65.4,64.1,48.1,55.4,53.6,48.2,31.9,23.0,11.6,22.6,25.6,19.3,17.3,23.9,16.6
Chemicals: Generic electric process,296.0,304.1,313.2,344.9,329.4,348.6,353.9,416.0,346.3,309.7,349.5,413.3,377.8,336.5,353.1,343.4
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Pharmaceutical products etc.,79.3,82.2,83.2,102.0,101.8,118.5,127.8,145.5,148.1,152.9,136.8,141.6,157.0,160.8,166.6,178.5
Lighting,0.9,1.0,1.0,1.2,1.2,1.4,1.5,1.7,1.7,1.8,1.6,1.7,1.8,1.9,1.9,2.1
Air compressors,6.2,6.4,6.5,8.0,8.0,9.2,10.0,11.4,11.6,11.9,10.7,11.1,12.3,12.6,13.0,13.9
Motor drives,1.1,1.1,1.1,1.4,1.4,1.6,1.7,2.0,2.0,2.1,1.9,1.9,2.1,2.2,2.3,2.4
Fans and pumps,8.8,9.1,9.2,11.3,11.3,13.1,14.2,16.1,16.4,17.0,15.2,15.7,17.4,17.9,18.5,19.8
